Postal Code,Place Name,State,County,Latitude,Longitude
1472,Fjellhamar,Akershus,Lørenskog,59.9396,10.9843
1473,Lørenskog,Akershus,Lørenskog,59.9284,10.9572
1474,Nordbyhagen,Akershus,Lørenskog,59.9327,10.9911
1475,Finstadjordet,Akershus,Lørenskog,59.9145,10.968
1476,Rasta,Akershus,Lørenskog,59.9205,10.9385
1477,Fjellhamar,Akershus,Lørenskog,59.9409,10.9797
1478,Lørenskog,Akershus,Lørenskog,59.9329,10.9964
1479,Kurland,Akershus,Lørenskog,59.9323,11.0203
2000,Lillestrøm,Akershus,Skedsmo,59.956,11.0492
2001,Lillestrøm,Akershus,Skedsmo,59.956,11.0492
2003,Lillestrøm,Akershus,Skedsmo,59.956,11.0492
2004,Lillestrøm,Akershus,Skedsmo,59.956,11.0492
2007,Kjeller,Akershus,Skedsmo,59.9833,11.0333
2010,Strømmen,Akershus,Skedsmo,59.95,11
2011,Strømmen,Akershus,Skedsmo,59.95,11
2012,Lillestrøm,Akershus,Skedsmo,59.956,11.0492
2013,Skjetten,Akershus,Skedsmo,59.9719,11.0069
2015,Leirsund,Akershus,Skedsmo,60,11.1
2019,Skedsmokorset,Akershus,Skedsmo,60.0167,11.0417
2020,Skedsmokorset,Akershus,Skedsmo,60.0167,11.0417
2021,Skedsmokorset,Akershus,Skedsmo,60.0167,11.0417
2026,Skjetten,Akershus,Skedsmo,59.9719,11.0069
2027,Kjeller,Akershus,Skedsmo,59.9833,11.0333
1480,Slattum,Akershus,Nittedal,60,10.9167
1481,Hagan,Akershus,Nittedal,59.9974,10.9184
1482,Nittedal,Akershus,Nittedal,60.08,10.8767
1483,Hagan,Akershus,Nittedal,59.9971,10.918
1484,Hakadal,Akershus,Nittedal,60.1,10.8667
1485,Hakadal,Akershus,Nittedal,60.1,10.8667
1486,Nittedal,Akershus,Nittedal,60.08,10.8767
1487,Hakadal,Akershus,Nittedal,60.1,10.8667
1488,Hakadal,Akershus,Nittedal,60.1,10.8667
2022,Gjerdrum,Akershus,Gjerdrum,60.0717,11.0345
2024,Gjerdrum,Akershus,Gjerdrum,60.0728,11.0325
2040,Kløfta,Akershus,Ullensaker,60.0667,11.15
2041,Kløfta,Akershus,Ullensaker,60.0667,11.15
2050,Jessheim,Akershus,Ullensaker,60.1415,11.1752
2051,Jessheim,Akershus,Ullensaker,60.1415,11.1752
2052,Jessheim,Akershus,Ullensaker,60.1415,11.1752
2054,Mogreina,Akershus,Ullensaker,60.2298,11.1672
2055,Nordkisa,Akershus,Ullensaker,60.1833,11.2667
2056,Algarheim,Akershus,Ullensaker,60.1446,11.255
2057,Jessheim,Akershus,Ullensaker,60.1415,11.1752
2058,Sessvollmoen,Akershus,Ullensaker,60.2371,11.1449
2059,Trandum,Akershus,Ullensaker,60.214,11.1229
2060,Gardermoen,Akershus,Ullensaker,60.2167,11.1
2061,Gardermoen,Akershus,Ullensaker,60.2167,11.1
2065,Gardermoen,Akershus,Ullensaker,60.1414,11.1723
1929,Auli,Akershus,Nes,60.0345,11.3605
2150,Årnes,Akershus,Nes,60.121,11.4663
2151,Årnes,Akershus,Nes,60.121,11.4663
2160,Vormsund,Akershus,Nes,60.1514,11.4141
2161,Vormsund,Akershus,Nes,60.1514,11.4141
2162,Brårud,Akershus,Nes,60.2094,11.3315
2164,Skogbygda,Akershus,Nes,60.2289,11.5116
2165,Hvam,Akershus,Nes,60.1261,11.3397
2166,Oppaker,Akershus,Nes,60.1775,11.5146
2170,Fenstad,Akershus,Nes,60.2198,11.3927
2070,Råholt,Akershus,Eidsvoll,60.2667,11.1833
2071,Råholt,Akershus,Eidsvoll,60.2667,11.1833
2072,Dal,Akershus,Eidsvoll,60.25,11.2
2073,Bøn,Akershus,Eidsvoll,60.2667,11.1867
2074,Eidsvoll Verk,Akershus,Eidsvoll,60.3,11.1667
2076,Dal,Akershus,Eidsvoll,60.25,11.2
2080,Eidsvoll,Akershus,Eidsvoll,60.3305,11.2616
2081,Eidsvoll,Akershus,Eidsvoll,60.3305,11.2616
2092,Minnesund,Akershus,Eidsvoll,60.3833,11.2333
2093,Feiring,Akershus,Eidsvoll,60.4833,11.15
2030,Nannestad,Akershus,Nannestad,60.2,11.0333
2031,Nannestad,Akershus,Nannestad,60.2,11.0333
